Name,Rebounds,Fouls,Points,Salary
Aaron Brooks,101,132,491,2700000
Aaron Gordon,507,153,719,4351320
Aaron Harrison,15,10,18,874636
Adreian Payne,111,77,132,2022240
Al Horford,596,163,1249,26540100
Al Jefferson,301,117,562,10230179
Al-Farouq Aminu,499,171,839,7680965
Alan Anderson,27,25,65,1315448
Alan Williams,38,15,29,874636
Alec Burks,109,71,412,10154495
Alex Len,594,230,703,4823621
Alexis Ajinca,269,134,352,4600000
Allen Crabbe,216,192,832,18500000
Alonzo Gee,245,169,325,1400000
Amir Johnson,505,214,577,12000000
Anderson Varejao,282,140,276,1984005
Andre Drummond,1198,245,1314,22116750
Andre Iguodala,263,102,457,11131368
Andre Roberson,251,133,337,2183072
Andrea Bargnani,97,61,304,323599
Andrew Bogut,492,221,375,11027027
Andrew Nicholson,201,69,384,6088993
Andrew Wiggins,292,165,1675,6006600
Anthony Bennett,23,8,28,1015696
Anthony Brown,70,34,115,874636
Anthony Davis,627,148,1481,22116750
Anthony Morrow,62,64,380,3488000
Anthony Tolliver,229,86,383,8000000
Archie Goodwin,142,84,505,2094089
Aron Baynes,384,151,514,6500000
Arron Afflalo,266,142,909,12500000
Austin Rivers,130,137,593,11000000
Avery Bradley,220,164,1155,8269663
Ben McLemore,148,140,531,4008882
Beno Udrih,144,102,410,1551659
Bismack Biyombo,655,225,454,17000000
Blake Griffin,294,95,749,20140838
Boban Marjanovic,194,54,297,7000000
Bobby Portis,337,100,436,1453680
Bojan Bogdanovic,255,119,887,3573020
Boris Diaw,233,102,485,7000000
Bradley Beal,188,117,958,22116750
Brandan Wright,43,21,83,5700000
Brandon Bass,285,125,473,1551659
Brandon Jennings,192,114,664,5000000
Brandon Knight,202,124,1018,12606250
Brandon Rush,181,57,305,3500000
Brian Roberts,82,70,410,1050961
Briante Weber,50,24,62,328000
Brook Lopez,573,215,1501,21165675
Bruno Caboclo,2,2,3,1589640
C.J. McCollum,259,187,1666,3219579
C.J. Miles,175,142,753,4583450
C.J. Watson,66,49,142,5000000
C.J. Wilcox,12,15,70,1209680
Cameron Payne,85,80,283,2112480
Carl Landry,146,69,351,6500000
Carmelo Anthony,556,180,1573,24559380
Caron Butler,22,19,63,517220
Chandler Parsons,285,114,837,22116750
Channing Frye,468,254,850,7806971
Chris Andersen,196,58,210,1551659
Chris Bosh,390,101,1010,23741060
Chris McCullough,68,39,112,1191480
Chris Paul,310,185,1446,22868828
Christian Wood,38,11,61,874636
Clint Capela,494,190,542,1296240
Cody Zeller,455,204,638,5318313
Cole Aldrich,288,139,328,7643979
Corey Brewer,199,168,590,7600000
Cory Joseph,210,131,677,7330000
Courtney Lee,410,268,1522,11242000
Cristiano Felicio,102,31,105,874636
D.J. Augustin,190,170,934,7250000
D'Angelo Russell,274,142,1054,5332800
Damian Lillard,302,165,1879,24328425
Damjan Rudez,20,33,75,980431
Danilo Gallinari,281,87,1036,15050000
Danny Green,303,141,572,10000000
Dante Cunningham,236,173,484,2978250
Darrell Arthur,293,185,527,8070175
Darren Collison,169,142,1035,5229454
Darrun Hilliard,45,28,152,874060
David Lee,610,228,854,1551659
David West,309,142,554,1551659
DeAndre Jordan,1059,207,980,21165675
Delon Wright,37,7,103,1577280
DeMar DeRozan,349,167,1830,26540100
DeMarcus Cousins,747,236,1748,16957900
DeMarre Carroll,122,63,286,14200000
Dennis Schroder,204,138,879,2708582
Deron Williams,190,155,918,9000000
Derrick Favors,503,150,1016,11050000
Derrick Rose,225,84,1080,21323250
Derrick Williams,296,69,746,4598000
Devin Booker,187,225,1048,2223600
Devin Harris,138,124,487,4228000
Dewayne Dedmon,228,109,255,2898000
Dion Waiters,202,143,762,2898000
Dirk Nowitzki,489,161,1372,25000000
Doug McDermott,195,127,764,2483040
Draymond Green,769,240,1131,15330435
Dwight Howard,835,219,976,23180275
Dwight Powell,273,118,399,8375000
Dwyane Wade,302,116,1409,23200000
E'Twaun Moore,133,103,443,8081363
Ed Davis,599,202,526,6666667
Elfrid Payton,261,159,778,2613600
Elliot Williams,4,2,8,250000
Elton Brand,63,32,70,1000000
Emmanuel Mudiay,232,141,872,3241800
Enes Kanter,664,166,1038,17145838
Eric Bledsoe,125,75,632,14000000
Eric Gordon,99,98,686,12385364
Ersan Ilyasova,806,342,1534,8400000
Evan Fournier,225,214,1213,17000000
Evan Turner,397,139,854,16393443
Festus Ezeli,257,94,320,7400000
Frank Kaminsky,335,126,606,2730000
Garrett Temple,212,195,582,8000000
Gary Harris,220,143,932,1655880
George Hill,298,149,894,8000000
Gerald Green,163,123,616,1410598
Gerald Henderson,211,87,624,9000000
Giannis Antetokounmpo,612,258,1350,2995421
Glenn Robinson,68,21,171,1050500
Goran Dragic,277,188,1018,15890000
Gordon Hayward,397,183,1578,16073140
Gorgui Dieng,585,219,827,2348783
